gridx,gridy,state,agentcolor
1.125,1.625,Healthy,#blue
1.65,1.625,Healthy,#blue
2.175,1.625,Healthy,#blue
2.7,1.625,Healthy,#blue
4.125,1.625,Healthy,#blue
4.65,1.625,Healthy,#blue
5.175,1.625,Healthy,#blue
5.7,1.625,Healthy,#blue
1.125,2.15,Healthy,#blue
1.65,2.15,Healthy,#blue
2.175,2.15,Healthy,#blue
2.7,2.15,Healthy,#blue
4.125,2.15,Healthy,#blue
4.65,2.15,Healthy,#blue
5.175,2.15,Healthy,#blue
5.7,2.15,Healthy,#blue
1.125,2.675,Healthy,#blue
1.65,2.675,Healthy,#blue
2.175,2.675,Healthy,#blue
2.7,2.675,Healthy,#blue
4.125,2.675,Healthy,#blue
4.65,2.675,Healthy,#blue
5.175,2.675,Healthy,#blue
5.7,2.675,Healthy,#blue
1.125,3.2,Healthy,#blue
1.65,3.2,Healthy,#blue
2.175,3.2,Healthy,#blue
2.7,3.2,Healthy,#blue
4.125,3.2,Healthy,#blue
4.65,3.2,Healthy,#blue
5.175,3.2,Healthy,#blue
5.7,3.2,Healthy,#blue
1.125,3.725,Healthy,#blue
1.65,3.725,Healthy,#blue
2.175,3.725,Healthy,#blue
2.7,3.725,Healthy,#blue
4.125,3.725,Healthy,#blue
4.65,3.725,Healthy,#blue
5.175,3.725,Healthy,#blue
5.7,3.725,Healthy,#blue
